Format,Mode,File,Encryption_Time,Decryption_Time
DER,CBC,256KB.txt,10.011,8.697
DER,CBC,256KB.txt,9.778,10.115
DER,CBC,256KB.txt,9.418,15.099
DER,CBC,256KB.txt,10.444,12.017
DER,CBC,256KB.txt,9.734,8.716
DER,CBC,256KB.txt,9.389,8.672
DER,CBC,256KB.txt,9.527,8.937
DER,CBC,256KB.txt,9.535,8.67
DER,CBC,256KB.txt,9.547,8.656
DER,CBC,256KB.txt,10.935,6.612
DER,CBC,256KB.txt,8.606,8.636
DER,CBC,256KB.txt,9.707,8.662
DER,CBC,256KB.txt,9.527,8.508
DER,CBC,256KB.txt,9.694,8.743
DER,CBC,256KB.txt,9.704,8.631
DER,CBC,256KB.txt,9.731,9.345
DER,CBC,256KB.txt,9.498,8.708
DER,CBC,256KB.txt,10.39,8.633
DER,CBC,256KB.txt,9.702,9.178
DER,CBC,256KB.txt,9.49,8.643
DER,CBC,256KB.txt,9.623,9.769
DER,CBC,256KB.txt,9.75,8.651
DER,CBC,256KB.txt,9.488,8.686
DER,CBC,256KB.txt,9.655,8.564
DER,CBC,256KB.txt,9.339,8.609
DER,CBC,256KB.txt,9.652,8.936
DER,CBC,256KB.txt,9.856,8.616
DER,CBC,256KB.txt,9.371,8.49
DER,CBC,256KB.txt,9.6,8.453
DER,CBC,256KB.txt,9.447,8.317
DER,CBC,256KB.txt,10.036,8.679
DER,CBC,256KB.txt,9.787,8.657
DER,CBC,256KB.txt,9.615,9.797
DER,CBC,256KB.txt,9.914,8.609
DER,CBC,256KB.txt,8.176,8.545
DER,CBC,256KB.txt,9.622,8.568
DER,CBC,256KB.txt,9.704,8.534
DER,CBC,256KB.txt,9.592,8.525
DER,CBC,256KB.txt,9.518,8.65
DER,CBC,256KB.txt,9.411,9.259
DER,CBC,256KB.txt,9.576,9.287
DER,CBC,256KB.txt,9.522,8.635
DER,CBC,256KB.txt,10.383,9.103
DER,CBC,256KB.txt,9.616,8.627
DER,CBC,256KB.txt,9.415,8.565
DER,CBC,256KB.txt,10.027,11.322
DER,CBC,256KB.txt,10.371,9.057
DER,CBC,256KB.txt,9.881,10.382
DER,CBC,256KB.txt,12.025,10.083
DER,CBC,256KB.txt,9.93,8.716
DER,CBC,256KB.txt,9.449,11.324
DER,CBC,256KB.txt,9.625,9.351
DER,CBC,256KB.txt,9.607,8.556
DER,CBC,256KB.txt,9.611,8.597
DER,CBC,256KB.txt,9.808,8.928
DER,CBC,256KB.txt,7.193,7.027
