KeySize,File,Encryption_Time,Decryption_Time
128,1KB.txt,3.625,5.483
128,1KB.txt,8.227,5.56
128,1KB.txt,4.498,8.38
128,1KB.txt,5.004,5.817
128,1KB.txt,5.471,3.753
128,1KB.txt,4.538,3.936
128,1KB.txt,5.748,5.062
128,1KB.txt,4.844,5.241
128,1KB.txt,4.204,4.911
128,1KB.txt,4.537,6.064
128,1KB.txt,4.96,3.833
128,1KB.txt,3.986,5.233
128,1KB.txt,4.814,3.668
128,1KB.txt,4.051,4.676
128,1KB.txt,4.923,4.042
128,1KB.txt,3.82,4.051
128,1KB.txt,3.943,4.426
128,1KB.txt,5.21,4.245
128,1KB.txt,3.699,3.853
128,1KB.txt,5.219,8.564
128,1KB.txt,3.611,4.132
128,1KB.txt,4.913,4.719
128,1KB.txt,3.79,5.581
128,1KB.txt,3.863,3.696
128,1KB.txt,5.765,3.703
128,1KB.txt,3.763,6.175
128,1KB.txt,8.813,5.942
128,1KB.txt,4.197,26.277
128,1KB.txt,4.08,4.562
128,1KB.txt,3.82,4.643
128,1KB.txt,4.699,3.59
128,1KB.txt,4.368,4.252
128,1KB.txt,6.748,4.508
128,1KB.txt,4.352,3.498
128,1KB.txt,4.04,4.989
128,1KB.txt,3.521,3.662
128,1KB.txt,4.496,4.41
128,1KB.txt,7.228,3.634
128,1KB.txt,4.325,4.933
128,1KB.txt,3.674,4.223
128,1KB.txt,4.152,4.025
128,1KB.txt,4.377,4.194
128,1KB.txt,3.956,4.946
128,1KB.txt,3.842,3.688
128,1KB.txt,5.882,4.693
128,1KB.txt,3.748,4.179
128,1KB.txt,4.899,3.776
128,1KB.txt,4.35,3.797
128,1KB.txt,5.889,3.615
128,1KB.txt,3.825,3.671
128,1KB.txt,4.818,4.835
128,1KB.txt,3.866,4.348
128,1KB.txt,4.199,3.779
128,1KB.txt,3.692,6.209
128,1KB.txt,3.897,4.064
128,1KB.txt,4.117,3.813
128,1KB.txt,4.565,3.773
128,1KB.txt,4.395,5.754
128,1KB.txt,5.456,3.622
128,1KB.txt,3.78,4.874
128,1KB.txt,6.084,3.756
128,1KB.txt,3.675,3.781
128,1KB.txt,3.807,5.587
128,1KB.txt,4.435,3.972
128,1KB.txt,4.768,5.705
128,1KB.txt,3.701,4.092
128,1KB.txt,4.536,3.632
128,1KB.txt,3.705,4.984
128,1KB.txt,3.734,17.192
128,1KB.txt,3.838,3.738
128,1KB.txt,5.017,3.85
128,1KB.txt,3.798,4.662
128,1KB.txt,4.124,3.915
128,1KB.txt,3.906,4.678
128,1KB.txt,4.427,3.799
128,1KB.txt,5.235,3.964
128,1KB.txt,3.874,3.902
128,1KB.txt,4.073,3.894
128,1KB.txt,4.893,3.691
128,1KB.txt,4.987,4.017
128,1KB.txt,3.83,3.856
128,1KB.txt,3.767,18.943
128,1KB.txt,3.68,4.235
128,1KB.txt,6.165,6.666
128,1KB.txt,3.741,3.685
128,1KB.txt,3.976,4.89
128,1KB.txt,3.673,7.242
128,1KB.txt,5.392,6.789
128,1KB.txt,5.184,4.872
128,1KB.txt,4.754,4.52
128,1KB.txt,3.651,3.998
128,1KB.txt,3.762,3.824
128,1KB.txt,5.006,3.974
128,1KB.txt,3.837,3.811
128,1KB.txt,5.162,5.399
128,1KB.txt,3.789,4.108
128,1KB.txt,6.165,3.587
128,1KB.txt,3.65,4.731
128,1KB.txt,3.757,4.96
128,1KB.txt,3.835,5.423
128,1KB.txt,3.858,8.861
128,1KB.txt,5.201,3.506
128,1KB.txt,4.893,5.092
128,1KB.txt,3.735,3.684
128,1KB.txt,5.745,4.005
128,1KB.txt,4.397,3.904
128,1KB.txt,3.783,3.634
128,1KB.txt,4.266,3.423
128,1KB.txt,3.716,4.995
128,1KB.txt,3.823,3.655
128,1KB.txt,4.569,3.754
128,1KB.txt,3.656,4.134
128,1KB.txt,3.735,4.204
128,1KB.txt,4.04,4.206
128,1KB.txt,5.069,3.811
128,1KB.txt,3.649,4.798
128,1KB.txt,5.09,3.811
128,1KB.txt,3.653,3.728
128,1KB.txt,3.615,4.977
