KeySize,File,Encryption_Time,Decryption_Time
128,1KB.txt,0.224,0.223
128,1KB.txt,0.228,0.211
128,1KB.txt,0.224,0.227
128,1KB.txt,0.223,0.241
128,1KB.txt,0.219,0.211
128,1KB.txt,0.233,0.238
128,1KB.txt,0.225,0.324
128,1KB.txt,0.239,0.23
128,1KB.txt,0.239,0.224
128,1KB.txt,0.209,0.23
128,1KB.txt,0.219,0.209
128,1KB.txt,0.244,0.246
128,1KB.txt,0.222,0.29
128,1KB.txt,0.222,0.235
128,1KB.txt,0.24,0.229
128,1KB.txt,0.221,0.287
128,1KB.txt,0.215,0.223
128,1KB.txt,0.265,0.217
128,1KB.txt,0.247,0.247
128,1KB.txt,0.217,0.226
128,1KB.txt,0.267,0.212
128,1KB.txt,0.248,0.272
128,1KB.txt,0.225,0.222
128,1KB.txt,0.286,0.23
128,1KB.txt,0.22,0.278
128,1KB.txt,0.208,0.238
128,1KB.txt,0.242,0.216
128,1KB.txt,0.232,0.263
128,1KB.txt,0.214,0.224
128,1KB.txt,0.247,0.229
128,1KB.txt,0.217,0.242
128,1KB.txt,0.212,0.23
128,1KB.txt,0.694,0.242
128,1KB.txt,0.259,0.277
128,1KB.txt,0.226,0.272
128,1KB.txt,0.222,0.212
128,1KB.txt,0.258,0.228
128,1KB.txt,0.229,0.242
